block,name,op_type,engine,flops,mem_accessed,flops_per_byte,process_time,flops_time,mem_time,static_latency,compute_utilization
attn,AttnBlock_Qa_Linear,matmul,cube,16118710272,8690688.0,1854.7104984093319,2.30744e-06,3.0744e-07,2.4700420908629894e-07,2e-06,0.13323856741670423
attn,AttnBlock_Qa_RMSNorm,layer,vector,7870464,1125120.0,6.995221843003413,3.197783371433616e-08,1.9215e-08,3.197783371433616e-08,0,0.6008849808792901
attn,AttnBlock_Qb_Linear,matmul,cube,55264149504,28431360.0,1943.7743922204213,3.05408e-06,1.05408e-06,8.080678526312113e-07,2e-06,0.34513830678960605
attn,AttnBlock_Q_Reshape,layer,vector,17989632,17989632.0,1.0,5.112960934638977e-07,4.392e-08,5.112960934638977e-07,0,0.08589934592
attn,AttnBlock_Q_Split,layer,vector,17989632,17989632.0,1.0,5.112960934638977e-07,4.392e-08,5.112960934638977e-07,0,0.08589934592
attn,AttnBlock_Q_Rope_emb,layer,vector,5996544,5996544.0,1.0,1.7043203115463257e-07,1.464e-08,1.7043203115463257e-07,0,0.08589934592000001
attn,AttnBlock_KVdown_Linear,matmul,cube,6044516352,4898688.0,1233.905150113663,2.139229086926207e-06,1.1529e-07,1.3922908692620695e-07,2e-06,0.053893246265483745
attn,AttnBlock_KV_Split,layer,vector,421632,421632.0,1.0,1.1983502190560102e-08,1.029375e-09,1.1983502190560102e-08,0,0.08589934592000001
attn,AttnBlock_K_Rope_emb,layer,vector,46848,46848.0,1.0,1.331500243395567e-09,1.14375e-10,1.331500243395567e-09,0,0.08589934592000001
attn,AttnBlock_Wkvb_Reshape,layer,vector,16777216,16777216.0,1.0,4.76837158203125e-07,4.096e-08,4.76837158203125e-07,0,0.08589934592
attn,AttnBlock_MlaAbsorb_Qnope_Wkvb,matmul-mla,cube,12280922112,34177024.0,359.3326941514861,2.971369445323944e-06,2.3424e-07,9.71369445323944e-07,2e-06,0.07883233785304768
attn,AttnBlock_KV_RMSNorm,layer,vector,2623488,375040.0,6.995221843003413,1.0659277904778719e-08,6.405e-09,1.0659277904778719e-08,0,0.6008849808792901
attn,AttnBlock_MlaAbsorb_Qnope_K,batchmatmul,cube,12624979820544,12353068032.0,1022.0116806480485,0.00035309531017951667,0.00024080238,0.0003510953101795167,2e-06,0.6819755829596661
attn,AttnBlock_MlaAbsorb_Qrope_K,batchmatmul,cube,1578122477568,1544133504.0,1022.0116806480485,4.5886913772439585e-05,3.01002975e-05,4.3886913772439584e-05,2e-06,0.6559669200956095
attn,AttnBlock_QK_Add,layer,vector,12329081856,18493622784.0,0.6666666666666666,0.0005256203730823472,3.01002975e-05,0.0005256203730823472,0,0.05726623061333334
